Lower tier local authorities Code,Lower tier local authorities,Age (61 categories) Code,Age (61 categories),Sex (2 categories) Code,Sex (2 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Tenure of household (7 categories) Code,Tenure of household (7 categories),Observation
E06000023,Bristol,3,Aged 17 years,1,Female,1,"Asian, Asian British or Asian Welsh",0,Owned: Owns outright,36
E06000023,Bristol,3,Aged 17 years,1,Female,1,"Asian, Asian British or Asian Welsh",1,Owned: Owns with a mortgage or loan or shared ownership,83
E06000023,Bristol,3,Aged 17 years,1,Female,1,"Asian, Asian British or Asian Welsh",2,Social rented: Rents from council or Local Authority,28
E06000023,Bristol,3,Aged 17 years,1,Female,1,"Asian, Asian British or Asian Welsh",3,Social rented: Other social rented,8
E06000023,Bristol,3,Aged 17 years,1,Female,1,"Asian, Asian British or Asian Welsh",4,Private rented: Private landlord or letting agency,16
E06000023,Bristol,3,Aged 17 years,1,Female,1,"Asian, Asian British or Asian Welsh",5,Private rented: Other private rented or lives rent free,7
E06000023,Bristol,3,Aged 17 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,0
E06000023,Bristol,3,Aged 17 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",0,Owned: Owns outright,6
E06000023,Bristol,3,Aged 17 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",1,Owned: Owns with a mortgage or loan or shared ownership,31
E06000023,Bristol,3,Aged 17 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",2,Social rented: Rents from council or Local Authority,115
E06000023,Bristol,3,Aged 17 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",3,Social rented: Other social rented,63
E06000023,Bristol,3,Aged 17 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",4,Private rented: Private landlord or letting agency,39
E06000023,Bristol,3,Aged 17 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",5,Private rented: Other private rented or lives rent free,1
E06000023,Bristol,3,Aged 17 years,1,Female,3,Mixed or Multiple ethnic groups,-8,Does not apply,0
E06000023,Bristol,3,Aged 17 years,1,Female,3,Mixed or Multiple ethnic groups,0,Owned: Owns outright,29
E06000023,Bristol,3,Aged 17 years,1,Female,3,Mixed or Multiple ethnic groups,1,Owned: Owns with a mortgage or loan or shared ownership,56
E06000023,Bristol,3,Aged 17 years,1,Female,3,Mixed or Multiple ethnic groups,2,Social rented: Rents from council or Local Authority,44
E06000023,Bristol,3,Aged 17 years,1,Female,3,Mixed or Multiple ethnic groups,3,Social rented: Other social rented,20
E06000023,Bristol,3,Aged 17 years,1,Female,3,Mixed or Multiple ethnic groups,4,Private rented: Private landlord or letting agency,32
E06000023,Bristol,3,Aged 17 years,1,Female,3,Mixed or Multiple ethnic groups,5,Private rented: Other private rented or lives rent free,1
E06000023,Bristol,3,Aged 17 years,1,Female,4,White,-8,Does not apply,0
E06000023,Bristol,3,Aged 17 years,1,Female,4,White,0,Owned: Owns outright,233
E06000023,Bristol,3,Aged 17 years,1,Female,4,White,1,Owned: Owns with a mortgage or loan or shared ownership,679
E06000023,Bristol,3,Aged 17 years,1,Female,4,White,2,Social rented: Rents from council or Local Authority,316
E06000023,Bristol,3,Aged 17 years,1,Female,4,White,3,Social rented: Other social rented,64
E06000023,Bristol,3,Aged 17 years,1,Female,4,White,4,Private rented: Private landlord or letting agency,168
E06000023,Bristol,3,Aged 17 years,1,Female,4,White,5,Private rented: Other private rented or lives rent free,25
E06000023,Bristol,3,Aged 17 years,1,Female,5,Other ethnic group,-8,Does not apply,0
E06000023,Bristol,3,Aged 17 years,1,Female,5,Other ethnic group,0,Owned: Owns outright,5
E06000023,Bristol,3,Aged 17 years,1,Female,5,Other ethnic group,1,Owned: Owns with a mortgage or loan or shared ownership,11
E06000023,Bristol,3,Aged 17 years,1,Female,5,Other ethnic group,2,Social rented: Rents from council or Local Authority,13
E06000023,Bristol,3,Aged 17 years,1,Female,5,Other ethnic group,3,Social rented: Other social rented,3
E06000023,Bristol,3,Aged 17 years,1,Female,5,Other ethnic group,4,Private rented: Private landlord or letting agency,10
E06000023,Bristol,3,Aged 17 years,1,Female,5,Other ethnic group,5,Private rented: Other private rented or lives rent free,2
E06000023,Bristol,3,Aged 17 years,2,Male,-8,Does not apply,-8,Does not apply,0
E06000023,Bristol,3,Aged 17 years,2,Male,-8,Does not apply,0,Owned: Owns outright,0
E06000023,Bristol,3,Aged 17 years,2,Male,-8,Does not apply,1,Owned: Owns with a mortgage or loan or shared ownership,0
E06000023,Bristol,3,Aged 17 years,2,Male,-8,Does not apply,2,Social rented: Rents from council or Local Authority,0
E06000023,Bristol,3,Aged 17 years,2,Male,-8,Does not apply,3,Social rented: Other social rented,0
E06000023,Bristol,3,Aged 17 years,2,Male,-8,Does not apply,4,Private rented: Private landlord or letting agency,0
E06000023,Bristol,3,Aged 17 years,2,Male,-8,Does not apply,5,Private rented: Other private rented or lives rent free,0
E06000023,Bristol,3,Aged 17 years,2,Male,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,0
E06000023,Bristol,3,Aged 17 years,2,Male,1,"Asian, Asian British or Asian Welsh",0,Owned: Owns outright,29
E06000023,Bristol,3,Aged 17 years,2,Male,1,"Asian, Asian British or Asian Welsh",1,Owned: Owns with a mortgage or loan or shared ownership,116
E06000023,Bristol,3,Aged 17 years,2,Male,1,"Asian, Asian British or Asian Welsh",2,Social rented: Rents from council or Local Authority,25
E06000023,Bristol,3,Aged 17 years,2,Male,1,"Asian, Asian British or Asian Welsh",3,Social rented: Other social rented,14
